"date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type",year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
"19760103,1976,76001,USA,NTS,ISC,37.3,-116.33,6.2,5.5,1.451,200,1000,WR,MUENSTER,SHAFT",1976,76001,USA,NTS,ISC,37.3,-116.33,6.2,5.5,1.451,200,1000,WEAPONS TESTING,MUENSTER,UNDERGROUND
"19750626,1975,75016,USA,NTS,ISC,37.27,-116.37,0,0,1.311,200,1000,WR,CAMEMBERT,SHAFT",1975,75016,USA,NTS,ISC,37.27,-116.37,0,0,1.311,200,1000,WEAPONS TESTING,CAMEMBERT,UNDERGROUND
"19751028,1975,75027,USA,NTS,ISC,37.28,-116.41,6.4,5.4,1.265,200,1000,WR,KASSERI,SHAFT",1975,75027,USA,NTS,ISC,37.28,-116.41,6.4,5.4,1.265,200,1000,WEAPONS TESTING,KASSERI,UNDERGROUND
"19760314,1976,76009,USA,NTS,ISC,37.31,-116.47,6.2,5.3,1.237,500,1000,WR,COLBY,SHAFT",1976,76009,USA,NTS,ISC,37.31,-116.47,6.2,5.3,1.237,500,1000,WEAPONS TESTING,COLBY,UNDERGROUND
"19760212,1976,76006,USA,NTS,UGS,37.271,-116.488,6.3,5.5,1.219,200,1000,WR,FONTINA,SHAFT",1976,76006,USA,NTS,UGS,37.271,-116.488,6.3,5.5,1.219,200,1000,WEAPONS TESTING,FONTINA,UNDERGROUND
"19760214,1976,76007,USA,NTS,ISC,37.24,-116.42,5.8,0,1.167,200,500,WR,CHESHIRE,SHAFT",1976,76007,USA,NTS,ISC,37.24,-116.42,5.8,0,1.167,200,500,WEAPONS TESTING,CHESHIRE,UNDERGROUND
"19750619,1975,75015,USA,NTS,ISC,37.35,-116.32,5.9,0,0.912,200,1000,WR,MAST,SHAFT",1975,75015,USA,NTS,ISC,37.35,-116.32,5.9,0,0.912,200,1000,WEAPONS TESTING,MAST,UNDERGROUND
"19661203,1966,66058,USA,HATTIESE MS,DOE,31,-89,0,0,0.9,0.38,0.38,PNE:V,STERLING,SHAFT",1966,66058,USA,HATTIESE MS,DOE,31,-89,0,0,0.9,0.38,0.38,CIVIL TESTING,STERLING,UNDERGROUND
"19760317,1976,76010,USA,NTS,ISC,37.26,-116.31,6,4.5,0.879,200,500,WR,POOL,SHAFT",1976,76010,USA,NTS,ISC,37.26,-116.31,6,4.5,0.879,200,500,WEAPONS TESTING,POOL,UNDERGROUND
"19760309,1976,76008,USA,NTS,ISC,37.31,-116.36,5.8,0,0.869,200,500,WR,ESTUARY,SHAFT",1976,76008,USA,NTS,ISC,37.31,-116.36,5.8,0,0.869,200,500,WEAPONS TESTING,ESTUARY,UNDERGROUND
"19751120,1975,75030,USA,NTS,ISC,37.22,-116.37,6,0,0.817,200,1000,WR,INLET,SHAFT",1975,75030,USA,NTS,ISC,37.22,-116.37,6,0,0.817,200,1000,WEAPONS TESTING,INLET,UNDERGROUND
"19760317,1976,76011,USA,NTS,ISC,37.11,-116.05,5.8,4.2,0.78,200,500,WR,STRAIT,SHAFT",1976,76011,USA,NTS,ISC,37.11,-116.05,5.8,4.2,0.78,200,500,WEAPONS TESTING,STRAIT,UNDERGROUND
"19750514,1975,75010,USA,NTS,ISC,37.22,-116.47,0,0,0.765,200,1000,WR,TYEO,SHAFT",1975,75010,USA,NTS,ISC,37.22,-116.47,0,0,0.765,200,1000,WEAPONS TESTING,TYEO,UNDERGROUND
"19750603,1975,75011,USA,NTS,ISC,37.33,-116.52,5.9,0,0.732,20,200,WR,STILTON,SHAFT",1975,75011,USA,NTS,ISC,37.33,-116.52,5.9,0,0.732,20,200,WEAPONS TESTING,STILTON,UNDERGROUND
"19751220,1975,75034,USA,NTS,ISC,37.12,-116.06,5.7,4,0.716,20,200,WR,CHIBERTA,SHAFT",1975,75034,USA,NTS,ISC,37.12,-116.06,5.7,4,0.716,20,200,WEAPONS TESTING,CHIBERTA,UNDERGROUND
"19750228,1975,75002,USA,NTS,ISC,37.11,-116.06,5.7,0,0.713,20,200,WR,TOPGALLANT,SHAFT",1975,75002,USA,NTS,ISC,37.11,-116.06,5.7,0,0.713,20,200,WEAPONS TESTING,TOPGALLANT,UNDERGROUND
"19770819,1977,77016,USA,NTS,ISC,37.11,-116.05,5.6,0,0.701,20,150,WR,SCANTLING,SHAFT",1977,77016,USA,NTS,ISC,37.11,-116.05,5.6,0,0.701,20,150,WEAPONS TESTING,SCANTLING,UNDERGROUND
